P_a_given_b,P_b_given_a,count_a,count_b,count_both,count_union,jaccard,property_a,property_b,variant
0.5263157894736842,0.11363636363636363,88,19,10,97,0.10309278350515463,beta2_open,C_lock,real_growth
0.30434782608695654,0.07954545454545454,88,23,7,104,0.0673076923076923,beta2_open,kappa_flip,real_growth
0.41025641025641024,0.9090909090909091,88,195,80,203,0.39408866995073893,beta2_open,QP_support,real_growth
0.13043478260869565,0.15789473684210525,19,23,3,39,0.07692307692307693,C_lock,kappa_flip,real_growth
0.07179487179487179,0.7368421052631579,19,195,14,200,0.07,C_lock,QP_support,real_growth
0.11794871794871795,1.0,23,195,23,195,0.11794871794871795,kappa_flip,QP_support,real_growth
,,0,,0,0,,beta2+C_lock+kappa_flip,,real_growth
,,6,,6,6,,beta2+C_lock+QP,,real_growth
,,7,,7,7,,beta2+kappa_flip+QP,,real_growth
,,3,,3,3,,C_lock+kappa_flip+QP,,real_growth
,,0,,0,0,,all_four,,real_growth
0.4,0.05555555555555555,108,15,6,117,0.05128205128205128,beta2_open,C_lock,no_backreaction
0.2857142857142857,0.07407407407407407,108,28,8,128,0.0625,beta2_open,kappa_flip,no_backreaction
0.4577777777777778,0.9537037037037037,108,225,103,230,0.44782608695652176,beta2_open,QP_support,no_backreaction
0.07142857142857142,0.13333333333333333,15,28,2,41,0.04878048780487805,C_lock,kappa_flip,no_backreaction
0.06666666666666667,1.0,15,225,15,225,0.06666666666666667,C_lock,QP_support,no_backreaction
0.12444444444444444,1.0,28,225,28,225,0.12444444444444444,kappa_flip,QP_support,no_backreaction
,,0,,0,0,,beta2+C_lock+kappa_flip,,no_backreaction
,,6,,6,6,,beta2+C_lock+QP,,no_backreaction
,,8,,8,8,,beta2+kappa_flip+QP,,no_backreaction
,,2,,2,2,,C_lock+kappa_flip+QP,,no_backreaction
,,0,,0,0,,all_four,,no_backreaction
0.0,0.0,0,0,0,0,0.0,beta2_open,C_lock,strict_symmetrized_control
0.0,0.0,0,0,0,0,0.0,beta2_open,kappa_flip,strict_symmetrized_control
0.0,0.0,0,0,0,0,0.0,beta2_open,QP_support,strict_symmetrized_control
0.0,0.0,0,0,0,0,0.0,C_lock,kappa_flip,strict_symmetrized_control
0.0,0.0,0,0,0,0,0.0,C_lock,QP_support,strict_symmetrized_control
0.0,0.0,0,0,0,0,0.0,kappa_flip,QP_support,strict_symmetrized_control
,,0,,0,0,,beta2+C_lock+kappa_flip,,strict_symmetrized_control
,,0,,0,0,,beta2+C_lock+QP,,strict_symmetrized_control
,,0,,0,0,,beta2+kappa_flip+QP,,strict_symmetrized_control
,,0,,0,0,,C_lock+kappa_flip+QP,,strict_symmetrized_control
,,0,,0,0,,all_four,,strict_symmetrized_control
