A_face_a,A_face_b,B_face_a,B_face_b,K_edge_has_nonzero_circulation,K_edge_kappa_flip_abs,K_edge_kappa_flips,K_edge_sign_identity,K_edge_sign_kappa,assembly_index,birth_kappa_flip_abs,birth_kappa_flips,birth_sign_identity,birth_sign_kappa,compat_C_hash_self_resid,compat_GJ_minus_Omega_resid,compat_J2_plus_I_resid,compat_J_P_to_Q_resid,compat_J_QP_max_lock_resid,compat_J_QP_mean_lock_resid,compat_J_Q_to_P_resid,compat_J_g_skew_resid,compat_J_hash_anti_self_resid,compat_J_metric_orth_resid,compat_basis_dim,compat_compatibility_gate_pass,compat_g_nondeg_ratio,compat_g_rank,compat_g_svals_json,compat_g_sym_resid,compat_omega_nondeg_ratio,compat_omega_rank,compat_omega_skew_resid,compat_omega_svals_json,compat_star_antimult_resid_diagnostic,compat_star_family_span_resid,compat_star_involution_resid_diagnostic,compat_valid_omega_g,context,cycle_closed_by_order,cycle_edge_count,cycle_operator_norm,cycle_order,ident_link_K_edge_over_abs,ident_link_birth_over_abs,ident_link_circulation_K_edge,ident_link_circulation_abs,ident_link_circulation_birth,ident_link_face_count,interface_norm,kappa_link_K_edge_over_abs,kappa_link_birth_over_abs,kappa_link_circulation_K_edge,kappa_link_circulation_abs,kappa_link_circulation_birth,kappa_link_face_count,lambda_used,link_count,link_graph_closed_cycle,link_graph_link_edges,link_graph_link_vertices,metric_candidate,metric_primary,metric_source_note,omega_candidate,omega_primary,omega_source_note,primary_pair,shared_edge,union_faces
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,2.4975309601616324e-16,3.154672666029694e-16,0.5683682244560397,3.7697459500855236e-13,3.7705731713941147e-13,3.770159560739819e-13,3.7705731713941147e-13,4.44347999369797e-16,3.3002071109853807e-16,0.5683682244560397,4,False,0.9999999999989995,4,"[1.0000000000000002, 1.0, 1.0, 0.9999999999999998]",0.0,0.46419716323054355,4,2.059071030366983e-16,"[0.962434092357884, 0.962434092357884, 0.44675917546935695, 0.4467591754693569]",3.190477292809748e-16,4.1702820697718684e-16,4.655501307577021e-16,True,shared_edge,,,,,,,,,,,,,,,,,,,,,,,cochain_identity_metric,True,ambient coefficient metric already used by residuals,union_pair_exchange_skew,True,skew part of union pair-exchange J-like operator; not independent of prior J tests,True,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,3.055463123584531e-16,2.1008703841582833e-16,1.6046148212468585,2.7295697316118343e-16,2.7295697316118343e-16,2.190216298769614e-16,1.6508628659273937e-16,3.7382002198263753e-16,2.3550196093150996e-16,1.6046148212469746,4,False,0.9999999999986211,4,"[1.0000000000004317, 1.0000000000004257, 1.0000000000001485, 1.0000000000000528]",2.973211127811156e-17,0.46419716323054355,4,2.059071030366983e-16,"[0.962434092357884, 0.962434092357884, 0.44675917546935695, 0.4467591754693569]",1.9384208731959072e-16,3.420880279288731e-14,5.9888967474870995e-16,True,shared_edge,,,,,,,,,,,,,,,,,,,,,,,union_C_symmetric_metric,True,symmetric pair-conjugation operator C on motif union,union_pair_exchange_skew,True,skew part of union pair-exchange J-like operator; not independent of prior J tests,True,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,2.4039631577046486e-16,2.5605937625760356e-16,0.5683682244561995,3.76951612423712e-13,3.770866182133156e-13,3.770191153185138e-13,3.770866182133156e-13,3.998052277461543e-16,2.962164571907933e-16,0.5683682244560163,4,False,0.9999999999982421,4,"[1.0000000000008638, 1.0000000000008513, 1.0000000000002978, 1.000000000000106]",4.609855995945021e-17,0.46419716323054355,4,2.059071030366983e-16,"[0.962434092357884, 0.962434092357884, 0.44675917546935695, 0.4467591754693569]",2.1703994263216118e-16,8.042967982452925e-14,4.323284672763982e-16,True,shared_edge,,,,,,,,,,,,,,,,,,,,,,,union_C_square_metric,True,C^T C structural metric diagnostic,union_pair_exchange_skew,True,skew part of union pair-exchange J-like operator; not independent of prior J tests,True,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,6.337541042798154e-13,4.427960703371077e-16,9.49844210401245,6.387059358706465e-13,6.387059358706465e-13,4.0107971570379045e-13,1.6345349553693436e-13,7.466007634647493e-16,4.744615090235588e-16,3.7497408358268682,4,False,0.07531341273306637,4,"[0.6935389765810858, 0.6676929467405807, 0.26544595708985624, 0.05223278718979507]",1.378219170828783e-16,0.46419716323054355,4,2.059071030366983e-16,"[0.962434092357884, 0.962434092357884, 0.44675917546935695, 0.4467591754693569]",8.054227568431832e-16,0.2152971161700045,8.944624492652967e-16,True,shared_edge,,,,,,,,,,,,,,,,,,,,,,,QP_data_gram_control,False,uses Q/P data directly,union_pair_exchange_skew,True,skew part of union pair-exchange J-like operator; not independent of prior J tests,False,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,2.4975309601616324e-16,2.4868320650802673e-16,0.776318974272823,0.7942633477958599,0.7942633477958599,0.7676971303428165,0.7411309128897731,3.5617034331271026e-16,2.4868320650802673e-16,0.776318974272823,4,False,0.9999999999989995,4,"[1.0000000000000002, 1.0, 1.0, 0.9999999999999998]",0.0,0.09566465005003891,4,2.0802992924988608e-33,"[0.7322408383885017, 0.7322408383885016, 0.07004956355687884, 0.07004956355687877]",3.2450375831541323e-16,2.496811524421364e-16,4.655501307577021e-16,True,shared_edge,,,,,,,,,,,2.449489742783178,,,,,,,,1,,,,cochain_identity_metric,True,ambient coefficient metric already used by residuals,edge_interface_skew_incidence_identity,True,skew part of Face->shared-edge->Face interface operator,True,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,3.055463123584531e-16,2.0031793734585137e-16,0.9504559690481996,0.7942633477960019,0.7942633477960019,0.7676971303429193,0.7411309128898367,2.835741518907805e-16,2.0031793734590322e-16,0.9504559690482004,4,False,0.9999999999986211,4,"[1.0000000000004317, 1.0000000000004257, 1.0000000000001485, 1.0000000000000528]",2.973211127811156e-17,0.09566465005003891,4,2.0802992924988608e-33,"[0.7322408383885017, 0.7322408383885016, 0.07004956355687884, 0.07004956355687877]",3.255392576614257e-16,0.9787614227224446,5.9888967474870995e-16,True,shared_edge,,,,,,,,,,,2.449489742783178,,,,,,,,1,,,,union_C_symmetric_metric,True,symmetric pair-conjugation operator C on motif union,edge_interface_skew_incidence_identity,True,skew part of Face->shared-edge->Face interface operator,True,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,2.4039631577046486e-16,2.212018490483367e-16,0.776318974272993,0.794263347795908,0.794263347795908,0.76769713034281,0.7411309128897118,3.2326437150613944e-16,1.9375292413991993e-16,0.7763189742729978,4,False,0.9999999999982421,4,"[1.0000000000008638, 1.0000000000008513, 1.0000000000002978, 1.000000000000106]",4.609855995945021e-17,0.09566465005003891,4,2.0802992924988608e-33,"[0.7322408383885017, 0.7322408383885016, 0.07004956355687884, 0.07004956355687877]",2.347944461399506e-16,9.462340619074684e-14,4.323284672763982e-16,True,shared_edge,,,,,,,,,,,2.449489742783178,,,,,,,,1,,,,union_C_square_metric,True,C^T C structural metric diagnostic,edge_interface_skew_incidence_identity,True,skew part of Face->shared-edge->Face interface operator,True,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,6.337541042798154e-13,3.9614671672828566e-16,7.172222144077934,0.9891977546096121,0.9891977546096121,0.5980353558351118,0.20687295706061157,7.321403181215396e-16,5.946341583359585e-16,6.342070590535808,4,False,0.07531341273306637,4,"[0.6935389765810858, 0.6676929467405807, 0.26544595708985624, 0.05223278718979507]",1.378219170828783e-16,0.09566465005003891,4,2.0802992924988608e-33,"[0.7322408383885017, 0.7322408383885016, 0.07004956355687884, 0.07004956355687877]",2.367802733584486e-16,0.043811000239952116,8.944624492652967e-16,True,shared_edge,,,,,,,,,,,2.449489742783178,,,,,,,,1,,,,QP_data_gram_control,False,uses Q/P data directly,edge_interface_skew_incidence_identity,True,skew part of Face->shared-edge->Face interface operator,False,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,2.4975309601616324e-16,3.052255327709119e-16,0.7609301818058651,0.46701425762462606,0.46701425762462606,0.4371669455097944,0.4073196333949627,4.65982790911328e-16,3.360221726650247e-16,0.7609301818058652,4,False,0.9999999999989995,4,"[1.0000000000000002, 1.0, 1.0, 0.9999999999999998]",0.0,0.2402866123900763,4,1.7459745152963537e-16,"[1.2553741466153903, 1.2553741466153903, 0.30164960097253557, 0.3016496009725354]",3.266147703017888e-16,7.929298513182614e-16,4.655501307577021e-16,True,shared_edge,,,,,,,,,,,2.449489742783178,,,,,,,1.0,1,,,,cochain_identity_metric,True,ambient coefficient metric already used by residuals,union_plus_edge_interface_skew_incidence_identity_unit,True,skew part of union plus edge interface,True,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,3.055463123584531e-16,2.2419686846478817e-16,1.580182559464246,0.46701425762474386,0.46701425762474386,0.43716694550988644,0.4073196333950291,3.6542226662764154e-16,2.380541366000017e-16,1.5801825594643601,4,False,0.9999999999986211,4,"[1.0000000000004317, 1.0000000000004257, 1.0000000000001485, 1.0000000000000528]",2.973211127811156e-17,0.2402866123900763,4,1.7459745152963537e-16,"[1.2553741466153903, 1.2553741466153903, 0.30164960097253557, 0.3016496009725354]",2.408494738375238e-16,0.7873442408888134,5.9888967474870995e-16,True,shared_edge,,,,,,,,,,,2.449489742783178,,,,,,,1.0,1,,,,union_C_symmetric_metric,True,symmetric pair-conjugation operator C on motif union,union_plus_edge_interface_skew_incidence_identity_unit,True,skew part of union plus edge interface,True,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,2.4039631577046486e-16,2.4305841578173886e-16,0.7609301818050863,0.4670142576247228,0.4670142576247228,0.43716694550985735,0.40731963339499183,3.8685376209631806e-16,2.743594230915143e-16,0.7609301818050354,4,False,0.9999999999982421,4,"[1.0000000000008638, 1.0000000000008513, 1.0000000000002978, 1.000000000000106]",4.609855995945021e-17,0.2402866123900763,4,1.7459745152963537e-16,"[1.2553741466153903, 1.2553741466153903, 0.30164960097253557, 0.3016496009725354]",2.1371727088365857e-16,2.9997042761268604e-13,4.323284672763982e-16,True,shared_edge,,,,,,,,,,,2.449489742783178,,,,,,,1.0,1,,,,union_C_square_metric,True,C^T C structural metric diagnostic,union_plus_edge_interface_skew_incidence_identity_unit,True,skew part of union plus edge interface,True,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,6.337541042798154e-13,4.170226710677689e-16,21.55172955963538,0.956533700008212,0.956533700008212,0.5442012561151599,0.1318688122221077,7.037862570315728e-16,4.1657188350519727e-16,11.363014118125454,4,False,0.07531341273306637,4,"[0.6935389765810858, 0.6676929467405807, 0.26544595708985624, 0.05223278718979507]",1.378219170828783e-16,0.2402866123900763,4,1.7459745152963537e-16,"[1.2553741466153903, 1.2553741466153903, 0.30164960097253557, 0.3016496009725354]",5.281456261644651e-16,0.3738514922471543,8.944624492652967e-16,True,shared_edge,,,,,,,,,,,2.449489742783178,,,,,,,1.0,1,,,,QP_data_gram_control,False,uses Q/P data directly,union_plus_edge_interface_skew_incidence_identity_unit,True,skew part of union plus edge interface,False,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,2.4975309601616324e-16,3.076549647263081e-16,0.6442747130948504,0.36310007045352516,0.36310007045352516,0.33784431267125525,0.31258855488898535,4.3150428997549816e-16,3.209037564393387e-16,0.6442747130948504,4,False,0.9999999999989995,4,"[1.0000000000000002, 1.0, 1.0, 0.9999999999999998]",0.0,0.31901608722714,4,1.9220296282308294e-16,"[1.125800720380553, 1.1258007203805527, 0.35914854081361886, 0.3591485408136185]",3.047475266420094e-16,4.1365468878090996e-16,4.655501307577021e-16,True,shared_edge,,,,,,,,,,,2.449489742783178,,,,,,,0.7071067811864391,1,,,,cochain_identity_metric,True,ambient coefficient metric already used by residuals,union_plus_edge_interface_skew_incidence_identity_half_base_norm,True,skew part of union plus edge interface,True,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,3.055463123584531e-16,2.0599123157576134e-16,1.5920354562685781,0.3631000704536223,0.3631000704536223,0.3378443126713314,0.3125885548890406,3.6661076699509166e-16,2.384489423911546e-16,1.592035456268693,4,False,0.9999999999986211,4,"[1.0000000000004317, 1.0000000000004257, 1.0000000000001485, 1.0000000000000528]",2.973211127811156e-17,0.31901608722714,4,1.9220296282308294e-16,"[1.125800720380553, 1.1258007203805527, 0.35914854081361886, 0.3591485408136185]",2.1422201628530405e-16,0.6373859080744781,5.9888967474870995e-16,True,shared_edge,,,,,,,,,,,2.449489742783178,,,,,,,0.7071067811864391,1,,,,union_C_symmetric_metric,True,symmetric pair-conjugation operator C on motif union,union_plus_edge_interface_skew_incidence_identity_half_base_norm,True,skew part of union plus edge interface,True,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,2.4039631577046486e-16,2.5160266829550085e-16,0.644274713094519,0.36310007045361153,0.36310007045361153,0.33784431267131393,0.3125885548890163,4.081377990165519e-16,2.9432191487148205e-16,0.6442747130944086,4,False,0.9999999999982421,4,"[1.0000000000008638, 1.0000000000008513, 1.0000000000002978, 1.000000000000106]",4.609855995945021e-17,0.31901608722714,4,1.9220296282308294e-16,"[1.125800720380553, 1.1258007203805527, 0.35914854081361886, 0.3591485408136185]",2.111881177702798e-16,2.5997539850814976e-13,4.323284672763982e-16,True,shared_edge,,,,,,,,,,,2.449489742783178,,,,,,,0.7071067811864391,1,,,,union_C_square_metric,True,C^T C structural metric diagnostic,union_plus_edge_interface_skew_incidence_identity_half_base_norm,True,skew part of union plus edge interface,True,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,6.337541042798154e-13,4.3652615762266907e-16,16.191959596881286,0.9269054483046739,0.9269054483046739,0.5156818343136388,0.10445822032260368,7.684768884758986e-16,4.749934247493705e-16,7.703735186373115,4,False,0.07531341273306637,4,"[0.6935389765810858, 0.6676929467405807, 0.26544595708985624, 0.05223278718979507]",1.378219170828783e-16,0.31901608722714,4,1.9220296282308294e-16,"[1.125800720380553, 1.1258007203805527, 0.35914854081361886, 0.3591485408136185]",6.307566638181492e-16,0.42803143327654436,8.944624492652967e-16,True,shared_edge,,,,,,,,,,,2.449489742783178,,,,,,,0.7071067811864391,1,,,,QP_data_gram_control,False,uses Q/P data directly,union_plus_edge_interface_skew_incidence_identity_half_base_norm,True,skew part of union plus edge interface,False,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,2.4975309601616324e-16,2.744284798907685e-16,1.0594793616414742,0.5693337366491785,0.5693337366491785,0.5370767099918369,0.5048196833344952,3.7094268766756606e-16,2.7850533819264568e-16,1.0594793616414742,4,False,0.9999999999989995,4,"[1.0000000000000002, 1.0, 1.0, 0.9999999999999998]",0.0,0.1516831330294202,4,1.6910457635773465e-16,"[1.469142873165782, 1.469142873165782, 0.22284419386978163, 0.2228441938697816]",2.81114194113785e-16,8.121531431802885e-16,4.655501307577021e-16,True,shared_edge,,,,,,,,,,,2.449489742783178,,,,,,,1.4142135623728782,1,,,,cochain_identity_metric,True,ambient coefficient metric already used by residuals,union_plus_edge_interface_skew_incidence_identity_base_norm,True,skew part of union plus edge interface,True,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,3.055463123584531e-16,1.9767248805782828e-16,1.558721446883586,0.5693337366493114,0.5693337366493114,0.53707670999194,0.5048196833345685,3.5324102311148426e-16,2.440709564224156e-16,1.5587214468836978,4,False,0.9999999999986211,4,"[1.0000000000004317, 1.0000000000004257, 1.0000000000001485, 1.0000000000000528]",2.973211127811156e-17,0.1516831330294202,4,1.6910457635773465e-16,"[1.469142873165782, 1.469142873165782, 0.22284419386978163, 0.2228441938697816]",2.565497575815649e-16,0.9059739197160486,5.9888967474870995e-16,True,shared_edge,,,,,,,,,,,2.449489742783178,,,,,,,1.4142135623728782,1,,,,union_C_symmetric_metric,True,symmetric pair-conjugation operator C on motif union,union_plus_edge_interface_skew_incidence_identity_base_norm,True,skew part of union plus edge interface,True,,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
