A_face_a,A_face_b,B_face_a,B_face_b,K_edge_has_nonzero_circulation,K_edge_kappa_flip_abs,K_edge_kappa_flips,K_edge_sign_identity,K_edge_sign_kappa,assembly_index,birth_kappa_flip_abs,birth_kappa_flips,birth_sign_identity,birth_sign_kappa,carrier_mode,context,control_reason,cycle_closed_by_order,cycle_edge_count,cycle_operator_norm,cycle_order,data_wedge_control_P_isotropic_resid,data_wedge_control_P_rank,data_wedge_control_QP_dominance,data_wedge_control_QP_rank,data_wedge_control_QP_ratio,data_wedge_control_QP_svals_json,data_wedge_control_Q_isotropic_resid,data_wedge_control_Q_rank,data_wedge_control_basis_dim,data_wedge_control_effective_nonzero_ratio,data_wedge_control_form_rank,data_wedge_control_lagrangian_QP_gate,data_wedge_control_max_sv,data_wedge_control_min_sv,data_wedge_control_nondeg_ratio,data_wedge_control_nondegenerate_gate,data_wedge_control_skew_resid,data_wedge_control_svals_json,data_wedge_control_symplectic_gate_pass,face_a,face_b,ident_link_K_edge_over_abs,ident_link_birth_over_abs,ident_link_circulation_K_edge,ident_link_circulation_abs,ident_link_circulation_birth,ident_link_face_count,interface_norm,kappa_link_K_edge_over_abs,kappa_link_birth_over_abs,kappa_link_circulation_K_edge,kappa_link_circulation_abs,kappa_link_circulation_birth,kappa_link_face_count,lambda_used,level,link_count,link_graph_closed_cycle,link_graph_link_edges,link_graph_link_vertices,omega_P_isotropic_resid,omega_P_rank,omega_QP_dominance,omega_QP_rank,omega_QP_ratio,omega_QP_svals_json,omega_Q_isotropic_resid,omega_Q_rank,omega_basis_dim,omega_candidate,omega_effective_nonzero_ratio,omega_form_rank,omega_lagrangian_QP_gate,omega_max_sv,omega_min_sv,omega_nondeg_ratio,omega_nondegenerate_gate,omega_skew_resid,omega_svals_json,omega_symplectic_gate_pass,pair_exchange_P_isotropic_resid,pair_exchange_P_rank,pair_exchange_QP_dominance,pair_exchange_QP_rank,pair_exchange_QP_ratio,pair_exchange_QP_svals_json,pair_exchange_Q_isotropic_resid,pair_exchange_Q_rank,pair_exchange_basis_dim,pair_exchange_effective_nonzero_ratio,pair_exchange_form_rank,pair_exchange_lagrangian_QP_gate,pair_exchange_max_sv,pair_exchange_min_sv,pair_exchange_nondeg_ratio,pair_exchange_nondegenerate_gate,pair_exchange_skew_resid,pair_exchange_svals_json,pair_exchange_symplectic_gate_pass,pair_label,primary_candidate,shared_edge
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,,shared_edge,,,,,,,,,,,,,,,,,,,,,,,,,"[3, 4, 5]","[0, 1, 2]",,,,,,,,,,,,,,,pair,,,,,,,,,,,,,,pair_exchange,,,,,,,,,,,1.0304359341576301e-17,1,0.7071067811860278,1,0.9999999999989609,[0.9624340923578841],1.528132734632906e-17,1,2,0.9999999999989608,2,True,0.9624340923578844,0.9624340923578842,0.9999999999989608,True,1.4879355856943277e-16,"[0.9624340923578844, 0.9624340923578842]",True,A,True,
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,,shared_edge,,,,,,3.0147901478452364e-17,1,0.707106781186328,1,0.999999999999561,[2.278239707178062],2.97781446727831e-17,1,2,0.999999999999561,2,True,2.2782397071780625,2.2782397071780625,0.999999999999561,True,9.384035832195428e-17,"[2.2782397071780625, 2.2782397071780625]",True,"[3, 4, 5]","[0, 1, 2]",,,,,,,,,,,,,,,pair,,,,,,,,,,,,,,data_wedge_control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,False,
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,,shared_edge,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 4, 6]","[0, 2, 3]",,,,,,,,,,,,,,,pair,,,,,,,,,,,,,,pair_exchange,,,,,,,,,,,3.736660470946081e-17,1,0.7071067811854286,1,0.9999999999977617,[0.44675917546935695],1.212453764616464e-16,1,2,0.9999999999977612,2,True,0.44675917546935695,0.44675917546935673,0.9999999999977612,True,4.763041834347086e-16,"[0.44675917546935695, 0.44675917546935673]",True,B,True,
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0,,,,,,shared_edge,,,,,,7.837503136130268e-18,1,0.7071067811852794,1,0.9999999999974634,[0.39421690104145596],2.741431492587668e-17,1,2,0.9999999999974634,2,True,0.39421690104145585,0.39421690104145585,0.9999999999974634,True,6.767541652502639e-17,"[0.39421690104145585, 0.39421690104145585]",True,"[1, 4, 6]","[0, 2, 3]",,,,,,,,,,,,,,,pair,,,,,,,,,,,,,,data_wedge_control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,False,
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.9999999999988874,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.449489742783178,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",,,,,,,,,,,,,,,,,,,,,,0.02441229973088327,-0.37119288233212044,0.2630686189617252,10.776068697407501,-4.0,5,,0.056627047947161384,-0.7126222608939407,0.6357033851412528,11.226143833850744,-8.0,5,,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.5889082616809785,2,0.4504867815349692,2,0.8014831016265581,"[0.36567312721656553, 0.29308083218381736]",0.49730310540637734,2,4,"link_cycle_only_birth_order_identity_(0, 2)",0.09566465005003891,4,False,0.7322408383885017,0.07004956355687877,0.09566465005003891,True,2.0802992924988608e-33,"[0.7322408383885017, 0.7322408383885016, 0.07004956355687884, 0.07004956355687877]",False,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.9999999999988874,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.449489742783178,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",,,,,,,,,,,,,,,,,,,,,,0.02441229973088327,-0.37119288233212044,0.2630686189617252,10.776068697407501,-4.0,5,,0.056627047947161384,-0.7126222608939407,0.6357033851412528,11.226143833850744,-8.0,5,1.0,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.3355194210665175,2,0.6352760569267232,2,0.4983834547833124,"[1.0381621522075328, 0.5174028400429677]",0.28332910383063553,2,4,"union_plus_link_cycle_birth_order_identity_unit_(0, 2)",0.2402866123900763,4,True,1.2553741466153903,0.3016496009725354,0.2402866123900763,True,1.7459745152963537e-16,"[1.2553741466153903, 1.2553741466153903, 0.30164960097253557, 0.3016496009725354]",True,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.9999999999988874,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.449489742783178,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",,,,,,,,,,,,,,,,,,,,,,0.02441229973088327,-0.37119288233212044,0.2630686189617252,10.776068697407501,-4.0,5,,0.056627047947161384,-0.7126222608939407,0.6357033851412528,11.226143833850744,-8.0,5,0.35355339059321955,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.14019162145830855,2,0.6951012054906945,2,0.468983885192088,"[0.97231174353093, 0.45599853909949756]",0.11838470138654535,2,4,"union_plus_link_cycle_birth_order_identity_quarter_base_norm_(0, 2)",0.41643457482803137,4,True,1.0085244865045764,0.4199844657416084,0.41643457482803137,True,2.0516542529030523e-16,"[1.0085244865045764, 1.0085244865045764, 0.4199844657416085, 0.4199844657416084]",True,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.9999999999988874,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.449489742783178,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",,,,,,,,,,,,,,,,,,,,,,0.02441229973088327,-0.37119288233212044,0.2630686189617252,10.776068697407501,-4.0,5,,0.056627047947161384,-0.7126222608939407,0.6357033851412528,11.226143833850744,-8.0,5,0.7071067811864391,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.2592134823489435,2,0.6651670442123772,2,0.48239983882523313,"[1.0012039967174706, 0.48298064664816953]",0.2188926155788288,2,4,"union_plus_link_cycle_birth_order_identity_half_base_norm_(0, 2)",0.31901608722714,4,True,1.125800720380553,0.3591485408136185,0.31901608722714,True,1.9220296282308294e-16,"[1.125800720380553, 1.1258007203805527, 0.35914854081361886, 0.3591485408136185]",True,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.9999999999988874,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.449489742783178,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",,,,,,,,,,,,,,,,,,,,,,0.02441229973088327,-0.37119288233212044,0.2630686189617252,10.776068697407501,-4.0,5,,0.056627047947161384,-0.7126222608939407,0.6357033851412528,11.226143833850744,-8.0,5,1.4142135623728782,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.41227910586918426,2,0.595322761805099,2,0.5252625105113671,"[1.1075479726085067, 0.5817534286046443]",0.3481487575971159,2,4,"union_plus_link_cycle_birth_order_identity_base_norm_(0, 2)",0.1516831330294202,4,False,1.469142873165782,0.2228441938697816,0.1516831330294202,True,1.6910457635773465e-16,"[1.469142873165782, 1.469142873165782, 0.22284419386978163, 0.2228441938697816]",False,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.9999999999988874,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,1.4142135623730951,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",,,,,,,,,,,,,,,,,,,,,,0.02441229973088327,-0.37119288233212044,0.2630686189617252,10.776068697407501,-4.0,5,,0.056627047947161384,-0.7126222608939407,0.6357033851412528,11.226143833850744,-8.0,5,,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.02159134215656732,2,0.14615630992455483,2,0.8597148012861964,"[0.010407711507756899, 0.008947663631594997]",0.9781668978559666,2,4,"link_cycle_only_birth_order_edge_projector_(0, 2)",0.9999999999849399,2,False,0.0664027623975029,5.822356778988642e-18,8.768244826995196e-17,False,5.268045183993583e-16,"[0.0664027623975029, 0.06640276239750287, 8.142066436756284e-18, 5.822356778988642e-18]",False,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
