A_face_a,A_face_b,B_face_a,B_face_b,K_edge_has_nonzero_circulation,K_edge_kappa_flip_abs,K_edge_kappa_flips,K_edge_sign_identity,K_edge_sign_kappa,T2_P_alpha,T2_P_minus_resid,T2_Q_alpha,T2_Q_minus_resid,T2_norm,T2_plus_I_raw_resid,T2_projective_alpha,T2_projective_minus_I_resid,T4_P_alpha,T4_P_plus_resid,T4_Q_alpha,T4_Q_plus_resid,T4_minus_I_raw_resid,T4_norm,T4_projective_plus_I_resid,T_P_to_Q_resid,T_QP_mean_resid,T_Q_to_P_resid,T_norm,assembly_index,basis_dim,birth_kappa_flip_abs,birth_kappa_flips,birth_sign_identity,birth_sign_kappa,compat_C_hash_self_resid,compat_GJ_minus_Omega_resid,compat_J2_plus_I_resid,compat_J_P_to_Q_resid,compat_J_QP_max_lock_resid,compat_J_QP_mean_lock_resid,compat_J_Q_to_P_resid,compat_J_g_skew_resid,compat_J_hash_anti_self_resid,compat_J_metric_orth_resid,compat_basis_dim,compat_compatibility_gate_pass,compat_g_nondeg_ratio,compat_g_rank,compat_g_svals_json,compat_g_sym_resid,compat_omega_nondeg_ratio,compat_omega_rank,compat_omega_skew_resid,compat_omega_svals_json,compat_star_antimult_resid_diagnostic,compat_star_family_span_resid,compat_star_involution_resid_diagnostic,compat_valid_omega_g,context,cycle_closed_by_order,cycle_edge_count,cycle_operator_norm,cycle_order,eig_imag_ratio_mean,eigvals_json,ident_link_K_edge_over_abs,ident_link_birth_over_abs,ident_link_circulation_K_edge,ident_link_circulation_abs,ident_link_circulation_birth,ident_link_face_count,interface_norm,kappa_link_K_edge_over_abs,kappa_link_birth_over_abs,kappa_link_circulation_K_edge,kappa_link_circulation_abs,kappa_link_circulation_birth,kappa_link_face_count,lambda_used,link_count,link_graph_closed_cycle,link_graph_link_edges,link_graph_link_vertices,metric_candidate,metric_primary,metric_source_note,nontrivial_operator,omega_candidate,omega_primary,omega_source_note,primary_pair,shared_edge,spinor_projective_gate_pass,spinor_strong_unscaled_gate_pass,union_faces
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0.5629365714991206,0.29469430329626434,0.5629365714991205,0.2946943032962643,1.3400232558734768,0.5683682244560397,0.5629365714992612,0.2946943032962802,0.4489155815702139,0.3872882177879924,0.4489155815702138,0.38728821778799233,0.6863226460493632,1.2146932742409458,0.46508580809271066,3.7697459500855236e-13,3.770159560739819e-13,3.7705731713941147e-13,1.5005819824313527,0,4,,,,,2.4975309601616324e-16,3.154672666029694e-16,0.5683682244560397,3.7697459500855236e-13,3.7705731713941147e-13,3.770159560739819e-13,3.7705731713941147e-13,4.44347999369797e-16,3.3002071109853807e-16,0.5683682244560397,4,False,0.9999999999989995,4,"[1.0000000000000002, 1.0, 1.0, 0.9999999999999998]",0.0,0.46419716323054355,4,2.059071030366983e-16,"[0.962434092357884, 0.962434092357884, 0.44675917546935695, 0.4467591754693569]",3.190477292809748e-16,4.1702820697718684e-16,4.655501307577021e-16,True,shared_edge,,,,,0.9999999999983613,"[[-2.7755575615628914e-17, 0.9624340923578844], [-2.7755575615628914e-17, -0.9624340923578844], [3.122502256758253e-17, 0.4467591754693568], [3.122502256758253e-17, -0.4467591754693568]]",,,,,,,,,,,,,,,,,,,cochain_identity_metric,True,ambient coefficient metric already used by residuals,True,union_pair_exchange_skew,True,skew part of union pair-exchange J-like operator; not independent of prior J tests,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,-0.5629365714987031,0.294694303296191,-0.562936571498703,0.29469430329619095,1.3400232558723661,1.6046148212468585,-0.5629365714988438,0.2946943032962069,0.4489155815694697,0.38728821778795736,0.4489155815694696,0.3872882177879574,0.6863226460495269,1.214693274238865,0.4650858080926299,2.7295697316118343e-16,2.190216298769614e-16,1.6508628659273937e-16,1.500581982430796,0,4,,,,,3.055463123584531e-16,2.1008703841582833e-16,1.6046148212468585,2.7295697316118343e-16,2.7295697316118343e-16,2.190216298769614e-16,1.6508628659273937e-16,3.7382002198263753e-16,2.3550196093150996e-16,1.6046148212469746,4,False,0.9999999999986211,4,"[1.0000000000004317, 1.0000000000004257, 1.0000000000001485, 1.0000000000000528]",2.973211127811156e-17,0.46419716323054355,4,2.059071030366983e-16,"[0.962434092357884, 0.962434092357884, 0.44675917546935695, 0.4467591754693569]",1.9384208731959072e-16,3.420880279288731e-14,5.9888967474870995e-16,True,shared_edge,,,,,0.0,"[[0.9624340923574713, 0.0], [-0.9624340923574715, 0.0], [0.44675917546931143, 0.0], [-0.44675917546931176, 0.0]]",,,,,,,,,,,,,,,,,,,union_C_symmetric_metric,True,symmetric pair-conjugation operator C on motif union,True,union_pair_exchange_skew,True,skew part of union pair-exchange J-like operator; not independent of prior J tests,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0.562936571498286,0.2946943032961175,0.5629365714982859,0.29469430329611757,1.3400232558712564,0.5683682244561995,0.5629365714984267,0.29469430329613344,0.4489155815687262,0.3872882177879225,0.4489155815687261,0.38728821778792244,0.6863226460496903,1.2146932742367857,0.4650858080925494,3.76951612423712e-13,3.770191153185138e-13,3.770866182133156e-13,1.5005819824302402,0,4,,,,,2.4039631577046486e-16,2.5605937625760356e-16,0.5683682244561995,3.76951612423712e-13,3.770866182133156e-13,3.770191153185138e-13,3.770866182133156e-13,3.998052277461543e-16,2.962164571907933e-16,0.5683682244560163,4,False,0.9999999999982421,4,"[1.0000000000008638, 1.0000000000008513, 1.0000000000002978, 1.000000000000106]",4.609855995945021e-17,0.46419716323054355,4,2.059071030366983e-16,"[0.962434092357884, 0.962434092357884, 0.44675917546935695, 0.4467591754693569]",2.1703994263216118e-16,8.042967982452925e-14,4.323284672763982e-16,True,shared_edge,,,,,0.9999999999983613,"[[-6.808789643208968e-17, 0.9624340923570588], [-6.808789643208968e-17, -0.9624340923570588], [3.469446951953614e-17, 0.4467591754692667], [3.469446951953614e-17, -0.4467591754692667]]",,,,,,,,,,,,,,,,,,,union_C_square_metric,True,C^T C structural metric diagnostic,True,union_pair_exchange_skew,True,skew part of union pair-exchange J-like operator; not independent of prior J tests,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,8.197912936874657,0.33546165075361584,8.197912936874657,0.3354616507536159,20.55395127727262,9.49844210401245,8.197912936876707,0.3354616507535823,105.61622827707139,0.4029493923265407,105.61622827707139,0.4029493923265407,145.84297091777174,293.1238961442587,0.5081792150638618,6.387059358706465e-13,4.0107971570379045e-13,1.6345349553693436e-13,8.943932417018768,0,4,,,,,6.337541042798154e-13,4.427960703371077e-16,9.49844210401245,6.387059358706465e-13,6.387059358706465e-13,4.0107971570379045e-13,1.6345349553693436e-13,7.466007634647493e-16,4.744615090235588e-16,3.7497408358268682,4,False,0.07531341273306637,4,"[0.6935389765810858, 0.6676929467405807, 0.26544595708985624, 0.05223278718979507]",1.378219170828783e-16,0.46419716323054355,4,2.059071030366983e-16,"[0.962434092357884, 0.962434092357884, 0.44675917546935695, 0.4467591754693569]",8.054227568431832e-16,0.2152971161700045,8.944624492652967e-16,True,shared_edge,,,,,0.9999999999995146,"[[-2.491271314164803e-16, 1.4143183226729734], [-2.491271314164803e-16, -1.4143183226729734], [4.996003610813204e-16, 3.794144113750693], [4.996003610813204e-16, -3.794144113750693]]",,,,,,,,,,,,,,,,,,,QP_data_gram_control,False,uses Q/P data directly,True,union_pair_exchange_skew,True,skew part of union pair-exchange J-like operator; not independent of prior J tests,False,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0.29746139495636786,0.0401257675348103,0.2436221918018564,0.048954752891798785,0.7583000371225518,0.776318974272823,0.27054179337913487,0.4088628595012257,0.15832049115049704,0.040790384665994016,0.12918898199943948,0.04994682388918072,0.8682248863804,0.40656574612745744,0.579136115552079,0.7942633477958599,0.7676971303428165,0.7411309128897731,1.0402726438375711,0,4,,,,,2.4975309601616324e-16,2.4868320650802673e-16,0.776318974272823,0.7942633477958599,0.7942633477958599,0.7676971303428165,0.7411309128897731,3.5617034331271026e-16,2.4868320650802673e-16,0.776318974272823,4,False,0.9999999999989995,4,"[1.0000000000000002, 1.0, 1.0, 0.9999999999999998]",0.0,0.09566465005003891,4,2.0802992924988608e-33,"[0.7322408383885017, 0.7322408383885016, 0.07004956355687884, 0.07004956355687877]",3.2450375831541323e-16,2.496811524421364e-16,4.655501307577021e-16,True,shared_edge,,,,,0.9999999999921794,"[[-7.806255641895632e-18, 0.7322408383885018], [-7.806255641895632e-18, -0.7322408383885018], [4.85722573273506e-17, 0.07004956355687879], [4.85722573273506e-17, -0.07004956355687879]]",,,,,,,2.449489742783178,,,,,,,,1,,,,cochain_identity_metric,True,ambient coefficient metric already used by residuals,True,edge_interface_skew_incidence_identity,True,skew part of Face->shared-edge->Face interface operator,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0.07784818479458826,0.15010925910110928,0.02400898164008892,0.41300690414694785,0.14455055219519322,0.9504559690481996,0.050928583217351324,0.4162489441005641,0.0052984081606135625,0.21882166083619034,-0.00018550051580741562,0.926729039042844,0.9974572239943443,0.011631224236076619,0.6211815732191408,0.7942633477960019,0.7676971303429193,0.7411309128898367,1.0402726438373002,0,4,,,,,3.055463123584531e-16,2.0031793734585137e-16,0.9504559690481996,0.7942633477960019,0.7942633477960019,0.7676971303429193,0.7411309128898367,2.835741518907805e-16,2.0031793734590322e-16,0.9504559690482004,4,False,0.9999999999986211,4,"[1.0000000000004317, 1.0000000000004257, 1.0000000000001485, 1.0000000000000528]",2.973211127811156e-17,0.09566465005003891,4,2.0802992924988608e-33,"[0.7322408383885017, 0.7322408383885016, 0.07004956355687884, 0.07004956355687877]",3.255392576614257e-16,0.9787614227224446,5.9888967474870995e-16,True,shared_edge,,,,,0.998221534467721,"[[0.01350125790891921, 0.22607712662383017], [0.01350125790891921, -0.22607712662383017], [-0.013501257908919219, 0.2260771266238296], [-0.013501257908919219, -0.2260771266238296]]",,,,,,,2.449489742783178,,,,,,,,1,,,,union_C_symmetric_metric,True,symmetric pair-conjugation operator C on motif union,True,edge_interface_skew_incidence_identity,True,skew part of Face->shared-edge->Face interface operator,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0.29746139495607404,0.040125767534823845,0.2436221918015868,0.048954752891821114,0.7583000371217624,0.776318974272993,0.27054179337885315,0.4088628595012258,0.15832049115017602,0.04079038466600773,0.12918898199916193,0.049946823889203566,0.8682248863806457,0.406565746126611,0.5791361155520791,0.794263347795908,0.76769713034281,0.7411309128897118,1.0402726438370296,0,4,,,,,2.4039631577046486e-16,2.212018490483367e-16,0.776318974272993,0.794263347795908,0.794263347795908,0.76769713034281,0.7411309128897118,3.2326437150613944e-16,1.9375292413991993e-16,0.7763189742729978,4,False,0.9999999999982421,4,"[1.0000000000008638, 1.0000000000008513, 1.0000000000002978, 1.000000000000106]",4.609855995945021e-17,0.09566465005003891,4,2.0802992924988608e-33,"[0.7322408383885017, 0.7322408383885016, 0.07004956355687884, 0.07004956355687877]",2.347944461399506e-16,9.462340619074684e-14,4.323284672763982e-16,True,shared_edge,,,,,0.9999999999921794,"[[-1.1711924561685211e-17, 0.7322408383881205], [-1.1711924561685211e-17, -0.7322408383881205], [5.912289971835016e-18, 0.07004956355684104], [5.912289971835016e-18, -0.07004956355684104]]",,,,,,,2.449489742783178,,,,,,,,1,,,,union_C_square_metric,True,C^T C structural metric diagnostic,True,edge_interface_skew_incidence_identity,True,skew part of Face->shared-edge->Face interface operator,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,7.3305413967367015,0.11337018548637184,2.905364600769916,0.2688280821404288,15.579047015984425,7.172222144077934,5.1179529987537125,0.4549489308475949,74.62495168082029,0.11397679888349638,29.329257974941846,0.2720690141707945,78.81372758503694,158.9283846958802,0.6190220023743785,0.9891977546096121,0.5980353558351118,0.20687295706061157,11.04900199649517,0,4,,,,,6.337541042798154e-13,3.9614671672828566e-16,7.172222144077934,0.9891977546096121,0.9891977546096121,0.5980353558351118,0.20687295706061157,7.321403181215396e-16,5.946341583359585e-16,6.342070590535808,4,False,0.07531341273306637,4,"[0.6935389765810858, 0.6676929467405807, 0.26544595708985624, 0.05223278718979507]",1.378219170828783e-16,0.09566465005003891,4,2.0802992924988608e-33,"[0.7322408383885017, 0.7322408383885016, 0.07004956355687884, 0.07004956355687877]",2.367802733584486e-16,0.043811000239952116,8.944624492652967e-16,True,shared_edge,,,,,0.9999999999973493,"[[-8.765738010593831e-17, 3.1930728940298607], [-8.765738010593831e-17, -3.1930728940298607], [2.748433749619878e-16, 0.20047815572215003], [2.748433749619878e-16, -0.20047815572215003]]",,,,,,,2.449489742783178,,,,,,,,1,,,,QP_data_gram_control,False,uses Q/P data directly,True,edge_interface_skew_incidence_identity,True,skew part of Face->shared-edge->Face interface operator,False,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0.8603979664554885,0.22360886704848226,0.8065587633009768,0.23698785319966237,2.2324618441002704,0.7609301818058651,0.8334783648783962,0.38081876518175545,1.290845282351936,0.24573397411726608,1.2010976603287578,0.26180322736350253,1.2618966100799895,3.5124498557074104,0.5528212321286466,0.46701425762462606,0.4371669455097944,0.4073196333949627,1.8259007255364181,0,4,,,,,2.4975309601616324e-16,3.052255327709119e-16,0.7609301818058651,0.46701425762462606,0.46701425762462606,0.4371669455097944,0.4073196333949627,4.65982790911328e-16,3.360221726650247e-16,0.7609301818058652,4,False,0.9999999999989995,4,"[1.0000000000000002, 1.0, 1.0, 0.9999999999999998]",0.0,0.2402866123900763,4,1.7459745152963537e-16,"[1.2553741466153903, 1.2553741466153903, 0.30164960097253557, 0.3016496009725354]",3.266147703017888e-16,7.929298513182614e-16,4.655501307577021e-16,True,shared_edge,,,,,0.9999999999979441,"[[5.551115123125783e-17, 1.25537414661539], [5.551115123125783e-17, -1.25537414661539], [-1.3877787807814457e-17, 0.3016496009725354], [-1.3877787807814457e-17, -0.3016496009725354]]",,,,,,,2.449489742783178,,,,,,,1.0,1,,,,cochain_identity_metric,True,ambient coefficient metric already used by residuals,True,union_plus_edge_interface_skew_incidence_identity_unit,True,skew part of union plus edge interface,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,-0.4850883867041147,0.3625980650004183,-0.5389275898586141,0.33388837438247115,1.375443120851215,1.580182559464246,-0.5120079882814924,0.38270221529144044,0.3533373599299954,0.46177249464870745,0.40846956412563684,0.41870011878340824,0.7773907847440361,1.2101956143724302,0.5591590647723156,0.46701425762474386,0.43716694550988644,0.4073196333950291,1.8259007255358066,0,4,,,,,3.055463123584531e-16,2.2419686846478817e-16,1.580182559464246,0.46701425762474386,0.46701425762474386,0.43716694550988644,0.4073196333950291,3.6542226662764154e-16,2.380541366000017e-16,1.5801825594643601,4,False,0.9999999999986211,4,"[1.0000000000004317, 1.0000000000004257, 1.0000000000001485, 1.0000000000000528]",2.973211127811156e-17,0.2402866123900763,4,1.7459745152963537e-16,"[1.2553741466153903, 1.2553741466153903, 0.30164960097253557, 0.3016496009725354]",2.408494738375238e-16,0.7873442408888134,5.9888967474870995e-16,True,shared_edge,,,,,0.0,"[[-0.9255328557903598, 0.0], [-0.40915145046276313, 0.0], [0.9255328557903588, 0.0], [0.4091514504627632, 0.0]]",,,,,,,2.449489742783178,,,,,,,1.0,1,,,,union_C_symmetric_metric,True,symmetric pair-conjugation operator C on motif union,True,union_plus_edge_interface_skew_incidence_identity_unit,True,skew part of union plus edge interface,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
