A_face_a,A_face_b,B_face_a,B_face_b,K_edge_has_nonzero_circulation,K_edge_kappa_flip_abs,K_edge_kappa_flips,K_edge_sign_identity,K_edge_sign_kappa,T2_P_alpha,T2_P_minus_resid,T2_Q_alpha,T2_Q_minus_resid,T2_norm,T2_plus_I_raw_resid,T2_projective_alpha,T2_projective_minus_I_resid,T4_P_alpha,T4_P_plus_resid,T4_Q_alpha,T4_Q_plus_resid,T4_minus_I_raw_resid,T4_norm,T4_projective_plus_I_resid,T_P_to_Q_resid,T_QP_mean_resid,T_Q_to_P_resid,T_norm,assembly_index,basis_dim,birth_kappa_flip_abs,birth_kappa_flips,birth_sign_identity,birth_sign_kappa,compat_C_hash_self_resid,compat_GJ_minus_Omega_resid,compat_J2_plus_I_resid,compat_J_P_to_Q_resid,compat_J_QP_max_lock_resid,compat_J_QP_mean_lock_resid,compat_J_Q_to_P_resid,compat_J_g_skew_resid,compat_J_hash_anti_self_resid,compat_J_metric_orth_resid,compat_basis_dim,compat_compatibility_gate_pass,compat_g_nondeg_ratio,compat_g_rank,compat_g_svals_json,compat_g_sym_resid,compat_omega_nondeg_ratio,compat_omega_rank,compat_omega_skew_resid,compat_omega_svals_json,compat_star_antimult_resid_diagnostic,compat_star_family_span_resid,compat_star_involution_resid_diagnostic,compat_valid_omega_g,context,cycle_closed_by_order,cycle_edge_count,cycle_operator_norm,cycle_order,eig_imag_ratio_mean,eigvals_json,ident_link_K_edge_over_abs,ident_link_birth_over_abs,ident_link_circulation_K_edge,ident_link_circulation_abs,ident_link_circulation_birth,ident_link_face_count,interface_norm,kappa_link_K_edge_over_abs,kappa_link_birth_over_abs,kappa_link_circulation_K_edge,kappa_link_circulation_abs,kappa_link_circulation_birth,kappa_link_face_count,lambda_used,link_count,link_graph_closed_cycle,link_graph_link_edges,link_graph_link_vertices,metric_candidate,metric_primary,metric_source_note,nontrivial_operator,omega_candidate,omega_primary,omega_source_note,primary_pair,shared_edge,spinor_projective_gate_pass,spinor_strong_unscaled_gate_pass,union_faces
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0.7042534619441867,0.11675904685921666,0.7042534619441867,0.11675904685921659,1.4474411356689698,0.33950631278000715,0.7042534619443628,0.11675904685921921,0.5237714603064073,0.21392154334249056,0.5237714603064072,0.2139215433424905,0.530982937487207,1.148017073943003,0.22101164120760497,3.172039295216635e-13,3.1729676627148115e-13,3.1738960302129884e-13,1.6783962129896968,0,4,,,,,2.5982611867430153e-16,2.6083172132484483e-16,0.33950631278000715,3.172039295216635e-13,3.1738960302129884e-13,3.1729676627148115e-13,3.1738960302129884e-13,3.683617774328972e-16,2.5494504862568483e-16,0.3395063127800071,4,False,0.9999999999989991,4,"[1.0000000000000004, 1.0000000000000004, 0.9999999999999999, 0.9999999999999997]",0.0,0.7855873571765358,4,2.0672306077682954e-16,"[0.9332643508681202, 0.9332643508681201, 0.7331606749463476, 0.7331606749463474]",3.070575749489041e-16,6.445301473119469e-16,4.86070610541908e-16,True,shared_edge,,,,,0.9999999999987823,"[[-1.1102230246251565e-16, 0.9332643508681202], [-1.1102230246251565e-16, -0.9332643508681202], [-8.326672684688674e-17, 0.7331606749463476], [-8.326672684688674e-17, -0.7331606749463476]]",,,,,,,,,,,,,,,,,,,cochain_identity_metric,True,ambient coefficient metric already used by residuals,True,union_pair_exchange_skew,True,skew part of union pair-exchange J-like operator; not independent of prior J tests,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,-0.7042534619437737,0.11675904685905343,-0.7042534619437736,0.11675904685905338,1.4474411356680104,1.7123896706624033,-0.7042534619439498,0.11675904685905596,0.523771460305713,0.21392154334223992,0.5237714603057129,0.21392154334223987,0.5309829374875586,1.1480170739412343,0.22101164120732658,2.5224273181167363e-16,3.2939477417621045e-16,4.065468165407473e-16,1.6783962129892045,0,4,,,,,3.61225466517112e-16,3.280551957327054e-16,1.7123896706624033,2.5224273181167363e-16,4.065468165407473e-16,3.2939477417621045e-16,4.065468165407473e-16,5.971505506004304e-16,4.493579881484792e-16,1.712389670662463,4,False,0.9999999999985836,4,"[1.000000000000432, 1.0000000000004292, 1.0000000000001257, 1.0000000000000158]",1.107067569859079e-17,0.7855873571765358,4,2.0672306077682954e-16,"[0.9332643508681202, 0.9332643508681201, 0.7331606749463476, 0.7331606749463474]",3.071630977010346e-16,5.193307803543263e-14,6.053966244511995e-16,True,shared_edge,,,,,0.0,"[[0.9332643508677182, 0.0], [-0.9332643508677183, 0.0], [0.733160674946296, 0.0], [-0.7331606749462958, 0.0]]",,,,,,,,,,,,,,,,,,,union_C_symmetric_metric,True,symmetric pair-conjugation operator C on motif union,True,union_pair_exchange_skew,True,skew part of union pair-exchange J-like operator; not independent of prior J tests,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0.7042534619433609,0.11675904685889067,0.7042534619433607,0.11675904685889063,1.4474411356670518,0.33950631278039567,0.704253461943537,0.11675904685889321,0.5237714603050193,0.21392154334198996,0.5237714603050192,0.21392154334198993,0.5309829374879103,1.1480170739394677,0.22101164120704908,3.171890294115558e-13,3.172978084908526e-13,3.1740658757014936e-13,1.6783962129887127,0,4,,,,,4.2118555985877877e-16,3.7765433123898113e-16,0.33950631278039567,3.171890294115558e-13,3.1740658757014936e-13,3.172978084908526e-13,3.1740658757014936e-13,4.593432080941293e-16,3.660058768437277e-16,0.3395063127802911,4,False,0.9999999999981672,4,"[1.0000000000008644, 1.000000000000858, 1.0000000000002514, 1.0000000000000318]",9.640792027105003e-17,0.7855873571765358,4,2.0672306077682954e-16,"[0.9332643508681202, 0.9332643508681201, 0.7331606749463476, 0.7331606749463474]",4.214575313685137e-16,1.3302430636003247e-13,8.040310031503078e-16,True,shared_edge,,,,,0.9999999999987823,"[[-1.3270634591222574e-16, 0.9332643508673165], [-1.3270634591222574e-16, -0.9332643508673165], [-9.71445146547012e-17, 0.733160674946244], [-9.71445146547012e-17, -0.733160674946244]]",,,,,,,,,,,,,,,,,,,union_C_square_metric,True,C^T C structural metric diagnostic,True,union_pair_exchange_skew,True,skew part of union pair-exchange J-like operator; not independent of prior J tests,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,22.227102937699957,0.38876462310832355,22.227102937699957,0.3887646231083236,60.28414340578195,29.41241711702616,22.227102937705514,0.3887646231082838,908.5444865417666,0.4130871572044472,908.5444865417666,0.4130871572044472,1281.703115052442,2564.822772910332,0.5603618625266297,3.491205656485783e-13,2.1260830289022345e-13,7.609604013186863e-14,15.103683042731328,0,4,,,,,5.721715007200185e-13,2.2756940096995086e-16,29.41241711702616,3.491205656485783e-13,3.491205656485783e-13,2.1260830289022345e-13,7.609604013186863e-14,3.969922620856687e-16,2.105228270677023e-16,10.75714288226326,4,False,0.07148761592342417,4,"[0.6978407700456887, 0.6682175507940454, 0.25301157629798704, 0.04988697294480424]",4.231586313944494e-18,0.7855873571765358,4,2.0672306077682954e-16,"[0.9332643508681202, 0.9332643508681201, 0.7331606749463476, 0.7331606749463474]",1.4119407924899548e-16,0.2243454398282815,4.0800569928136106e-16,True,shared_edge,,,,,0.9999999999995576,"[[-1.7563755376102894e-16, 1.3666822952198836], [-1.7563755376102894e-16, -1.3666822952198836], [-8.881784197001252e-16, 6.525824498050392], [-8.881784197001252e-16, -6.525824498050392]]",,,,,,,,,,,,,,,,,,,QP_data_gram_control,False,uses Q/P data directly,True,union_pair_exchange_skew,True,skew part of union pair-exchange J-like operator; not independent of prior J tests,False,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0.3216375736252631,0.0440002019191846,0.22638343777045195,0.062391372998248415,0.7715104077063458,0.7751039065204867,0.274010505697873,0.4115461975472714,0.1749077112351549,0.044340096499212285,0.12270644336436044,0.0630756308595002,0.8641013239122374,0.4208812306921473,0.581613371757754,0.7983263177822094,0.747273799207973,0.6962212806337366,1.046920256176069,0,4,,,,,2.5982611867430153e-16,2.250617140010845e-16,0.7751039065204867,0.7983263177822094,0.7983263177822094,0.747273799207973,0.6962212806337366,2.3738761578701974e-16,2.250617140010845e-16,0.7751039065204864,4,False,0.9999999999989991,4,"[1.0000000000000004, 1.0000000000000004, 0.9999999999999999, 0.9999999999999997]",0.0,0.06751146930755245,4,2.2278115918974753e-33,"[0.738603123968453, 0.7386031239684526, 0.0498641821343261, 0.04986418213432608]",3.437483043695693e-16,4.075721064674488e-16,4.86070610541908e-16,True,shared_edge,,,,,0.9999999999892959,"[[1.0408340855860843e-17, 0.7386031239684526], [1.0408340855860843e-17, -0.7386031239684526], [-1.734723475976807e-18, 0.049864182134326106], [-1.734723475976807e-18, -0.049864182134326106]]",,,,,,,2.449489742783178,,,,,,,,1,,,,cochain_identity_metric,True,ambient coefficient metric already used by residuals,True,edge_interface_skew_incidence_identity,True,skew part of Face->shared-edge->Face interface operator,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0.08833770148612402,0.15658008690253344,-0.006916434368657351,0.7854236353457843,0.1732234860143183,0.9623306744089085,0.04071063355874351,0.6004256309857889,0.005836130423370156,0.1906335133134074,-0.0019195820161093343,0.4690950966029344,0.9980611355804584,0.013050481127254435,0.7615836578729599,0.7983263177823693,0.7472737992080942,0.6962212806338192,1.0469202561758144,0,4,,,,,3.61225466517112e-16,3.2896728707793486e-16,0.9623306744089085,0.7983263177823693,0.7983263177823693,0.7472737992080942,0.6962212806338192,4.865752550168606e-16,3.576307555494355e-16,0.9623306744089107,4,False,0.9999999999985836,4,"[1.000000000000432, 1.0000000000004292, 1.0000000000001257, 1.0000000000000158]",1.107067569859079e-17,0.06751146930755245,4,2.2278115918974753e-33,"[0.738603123968453, 0.7386031239684526, 0.0498641821343261, 0.04986418213432608]",4.580527859006381e-16,0.9774162411607621,6.053966244511995e-16,True,shared_edge,,,,,0.9999999999946537,"[[1.182269009725388e-16, 0.2409515236012507], [1.182269009725388e-16, -0.2409515236012507], [-1.5265566588596534e-16, 0.15285166139673884], [-1.5265566588596534e-16, -0.15285166139673884]]",,,,,,,2.449489742783178,,,,,,,,1,,,,union_C_symmetric_metric,True,symmetric pair-conjugation operator C on motif union,True,edge_interface_skew_incidence_identity,True,skew part of Face->shared-edge->Face interface operator,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,0.321637573624967,0.04400020191920024,0.2263834377702156,0.062391372998278107,0.7715104077055964,0.7751039065206436,0.2740105056976067,0.4115461975472715,0.17490771123482404,0.04434009649922799,0.1227064433641131,0.06307563085953029,0.8641013239124723,0.42088123069132954,0.5816133717577544,0.7983263177822637,0.7472737992079619,0.69622128063366,1.0469202561755604,0,4,,,,,4.2118555985877877e-16,3.7142085458387585e-16,0.7751039065206436,0.7983263177822637,0.7983263177822637,0.7472737992079619,0.69622128063366,3.009884132526536e-16,3.3141931684922327e-16,0.7751039065206516,4,False,0.9999999999981672,4,"[1.0000000000008644, 1.000000000000858, 1.0000000000002514, 1.0000000000000318]",9.640792027105003e-17,0.06751146930755245,4,2.2278115918974753e-33,"[0.738603123968453, 0.7386031239684526, 0.0498641821343261, 0.04986418213432608]",4.471453013516118e-16,1.0483296250582789e-13,8.040310031503078e-16,True,shared_edge,,,,,0.9999999999892959,"[[-1.6940658945086007e-19, 0.7386031239680939], [-1.6940658945086007e-19, -0.7386031239680939], [3.0137432263308006e-17, 0.049864182134300356], [3.0137432263308006e-17, -0.049864182134300356]]",,,,,,,2.449489742783178,,,,,,,,1,,,,union_C_square_metric,True,C^T C structural metric diagnostic,True,edge_interface_skew_incidence_identity,True,skew part of Face->shared-edge->Face interface operator,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,8.313254579913206,0.11426587654484954,3.074086736521532,0.28726087579359966,17.21003576440668,7.978658498553337,5.693670658217684,0.45123096976447996,94.43540609880269,0.11453751886022825,34.775213651994186,0.288872044638611,97.17849758600644,195.67187853990404,0.6158173313677309,0.9898649494979068,0.5849950874410418,0.18012522538417677,12.037439329572432,0,4,,,,,5.721715007200185e-13,2.543274546404461e-16,7.978658498553337,0.9898649494979068,0.9898649494979068,0.5849950874410418,0.18012522538417677,4.592513256375506e-16,4.451514812862041e-16,7.166123078488404,4,False,0.07148761592342417,4,"[0.6978407700456887, 0.6682175507940454, 0.25301157629798704, 0.04988697294480424]",4.231586313944494e-18,0.06751146930755245,4,2.2278115918974753e-33,"[0.738603123968453, 0.7386031239684526, 0.0498641821343261, 0.04986418213432608]",3.3581879755342627e-16,0.04149217148803199,4.0800569928136106e-16,True,shared_edge,,,,,0.9999999999963403,"[[-2.2578921534650608e-17, 3.3715080967828164], [-2.2578921534650608e-17, -3.3715080967828164], [-6.536523041889864e-17, 0.1423884467438188], [-6.536523041889864e-17, -0.1423884467438188]]",,,,,,,2.449489742783178,,,,,,,,1,,,,QP_data_gram_control,False,uses Q/P data directly,True,edge_interface_skew_incidence_identity,True,skew part of Face->shared-edge->Face interface operator,False,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,1.02589103556945,0.09424213110398706,0.9306368997146386,0.10369210121384877,2.445297765797052,0.7337181717577357,0.9782639676422359,0.33322361736707007,1.5880539797280533,0.11849510070738112,1.4016866019766863,0.13372702450574375,1.5178482874316488,4.144202700335745,0.5058948203728408,0.4470058612157985,0.395194705117053,0.3433835490183075,1.9781445524960812,0,4,,,,,2.5982611867430153e-16,2.517675108856301e-16,0.7337181717577357,0.4470058612157985,0.4470058612157985,0.395194705117053,0.3433835490183075,3.4377432179453596e-16,2.5268072559834544e-16,0.7337181717577357,4,False,0.9999999999989991,4,"[1.0000000000000004, 1.0000000000000004, 0.9999999999999999, 0.9999999999999997]",0.0,0.3782309800897235,4,1.7983198619736564e-16,"[1.3083042876982056, 1.308304287698205, 0.49484121299205847, 0.4948412129920582]",3.167240059943599e-16,6.089645986749607e-16,4.86070610541908e-16,True,shared_edge,,,,,0.9999999999986073,"[[-1.1102230246251565e-16, 1.3083042876982058], [-1.1102230246251565e-16, -1.3083042876982058], [-6.938893903907228e-17, 0.4948412129920585], [-6.938893903907228e-17, -0.4948412129920585]]",,,,,,,2.449489742783178,,,,,,,1.0,1,,,,cochain_identity_metric,True,ambient coefficient metric already used by residuals,True,union_plus_edge_interface_skew_incidence_identity_unit,True,skew part of union plus edge interface,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",,,,,,-0.6159157604576497,0.154594493995178,-0.711169896312431,0.13467834152827649,1.4139206631302463,1.6813323785541592,-0.6635428283852063,0.17798868799874595,0.3982424815608196,0.2964908879749013,0.5246528790017918,0.23331307269622817,0.628358289742492,1.1273499915316045,0.3231312044893733,0.44700586121590596,0.39519470511713317,0.3433835490183604,1.978144552495529,0,4,,,,,3.61225466517112e-16,2.936742511330932e-16,1.6813323785541592,0.44700586121590596,0.44700586121590596,0.39519470511713317,0.3433835490183604,5.554729110562429e-16,4.0057895841805067e-16,1.6813323785542198,4,False,0.9999999999985836,4,"[1.000000000000432, 1.0000000000004292, 1.0000000000001257, 1.0000000000000158]",1.107067569859079e-17,0.3782309800897235,4,1.7983198619736564e-16,"[1.3083042876982056, 1.308304287698205, 0.49484121299205847, 0.4948412129920582]",3.6575282181098957e-16,0.7302300760253652,6.053966244511995e-16,True,shared_edge,,,,,0.0,"[[0.8994458137894166, 0.0], [0.7197797474418409, 0.0], [-0.8994458137894169, 0.0], [-0.7197797474418398, 0.0]]",,,,,,,2.449489742783178,,,,,,,1.0,1,,,,union_C_symmetric_metric,True,symmetric pair-conjugation operator C on motif union,True,union_plus_edge_interface_skew_incidence_identity_unit,True,skew part of union plus edge interface,True,,False,False,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]"
