A_face_a,A_face_b,B_face_a,B_face_b,C3_like_stable_pass,P_rank,P_to_Q_transfer_resid,QP_lock_stable_pass,QP_transfer_max_resid,QP_transfer_mean_resid,Q_rank,Q_to_P_transfer_resid,artifact_suspect,bounded_contraction_audit_pass,bounded_structural_transfer_pass,bridge_cond,bridge_max_sv,bridge_min_sv,bridge_mode,bridge_rank,bridge_rows,bridge_well_conditioned_pass,candidate_parent_fans,complex_like_stable_pass,context,edge_overlap,event_t,face_overlap,fan_count,fans_json,halfplane_bias_pos_minus_neg,halfplane_neg_real_count,halfplane_pos_real_count,lift_mode,lifted_transfer_eigvals_json,lifted_transfer_fro_norm,lifted_transfer_max_abs_imag_eig,lifted_transfer_max_real_eig,lifted_transfer_min_real_eig,lifted_transfer_normality_resid,lifted_transfer_opnorm,lifted_transfer_singular_values_json,lifted_transfer_skew_ratio,lifted_transfer_spectral_radius,lifted_transfer_sym_ratio,max_abs_response_circulation,max_response_complex_eig_imag,mean_abs_response_circulation,mean_raw_response_weight_norm,mean_response_complex_eig_imag,minus_identity_stable_pass,motif_basis_rank,parent_fan_count,projected_J2_plus_I_resid,projected_QP_cube_identity_resid,projected_QP_eig_imag_max,projected_QP_eig_real_max_abs,projected_QP_eigvals_json,projected_QP_fro_norm,projected_QP_identity_resid,projected_QP_max_abs_imag_eig,projected_QP_max_real_eig,projected_QP_min_real_eig,projected_QP_minus_identity_resid,projected_QP_norm,projected_QP_normality_resid,projected_QP_opnorm,projected_QP_rank,projected_QP_singular_values_json,projected_QP_skew_ratio,projected_QP_spectral_radius,projected_QP_square_minus_identity_resid,projected_QP_sym_ratio,response_active,response_bounded_mode,response_op,response_opnorm,response_spectral_radius,scan_id,transfer_active,transfer_opnorm_raw_before_post_bound,transfer_status,union_faces,vertex_overlap
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.8556750350448109,False,0.9449964477625945,0.9003357414037028,2,0.9449964477625945,False,False,False,6.999272781080357,0.678588725116499,0.09695131856323475,radial,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]",True,"[0, 1]",False,shared_edge,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078267, ""complex_eig_imag_max"": 0.09604348605970163}]",0.0,2,2,raw_unbounded_audit,"[[7.064919546385082e-17, 0.0], [-0.4999999999967024, 0.12782327036486427], [-0.4999999999967024, -0.12782327036486427], [0.9999999999934044, 0.0], [0.9999999999937892, 0.0], [-0.4999999999968938, 0.09604348605970216], [-0.4999999999968938, -0.09604348605970216], [9.925251544536236e-17, 8.798418068047371e-17], [9.925251544536236e-17, -8.798418068047371e-17], [-1.6400752097935105e-17, 7.044200388872499e-17], [-1.6400752097935105e-17, -7.044200388872499e-17], [-4.440225066325385e-17, 0.0]]",4.082152900910079,0.12782327036486427,0.9999999999937892,-0.4999999999968938,0.6950819711565731,3.7854570540755454,"[3.7854570540755454, 1.2157853789906672, 0.660693112646745, 0.5111344464541346, 0.3804553294038547, 0.11676061522692821, 2.0545415295257646e-16, 1.5745981507759224e-16, 7.90690351887132e-17, 4.068037327416129e-17, 1.8614080418147054e-17, 5.3386898535953385e-19]",0.641497844483946,0.9999999999937892,0.7671248369867587,1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080825,0.11193337821228302,False,4,2,1.3001398002362634,0.7289742253599178,0.0,0.7751029120621262,"[[0.7751029120621262, 0.0], [-0.5890173850856725, 0.0], [0.25077532249716017, 0.0], [-0.20936719581647792, 0.0]]",1.6275476228452712,0.6860721844473517,0.0,0.7751029120621262,-0.5890173850856725,0.7347426552590469,1.6275476228452712,0.6626056020521955,1.5149653985737233,4,"[1.5149653985737233, 0.5361663859989328, 0.21972218476239433, 0.13430887462017435]",0.5486033242585,0.7751029120621262,0.9260883194183122,0.836082766603459,True,False,markov,1.0182732699218953,0.9999999999937883,0,True,3.7854570540755454,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.8556750350435716,False,0.9449964477615038,0.9003357414025377,2,0.9449964477615038,False,True,False,6.999272781080357,0.678588725116499,0.09695131856323475,radial,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]",True,"[0, 1]",False,shared_edge,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078267, ""complex_eig_imag_max"": 0.09604348605970163}]",0.0,2,2,raw_unbounded_audit__transfer_post_opnorm_bounded,"[[3.7612193479805706e-17, 0.0], [-0.13208444656858187, 0.03376693184968135], [-0.13208444656858187, -0.03376693184968135], [0.2641688931371633, 0.0], [0.26416889313726505, 0.0], [-0.13208444656863233, 0.025371701405593444], [-0.13208444656863233, -0.025371701405593444], [-3.3018432391814083e-18, 0.0], [-7.558425049914135e-18, 2.137415309606104e-17], [-7.558425049914135e-18, -2.137415309606104e-17], [1.7650728695473992e-17, 0.0], [1.1702199981794516e-17, 0.0]]",1.078377813457189,0.03376693184968135,0.26416889313726505,-0.13208444656863233,0.6950819711562517,1.0,"[1.0, 0.32117267786242976, 0.17453456827238914, 0.13502582096495613, 0.10050446325741418, 0.030844522486715303, 4.2349264483043065e-17, 3.987626857556775e-17, 1.0309554404441424e-17, 8.744694402707348e-18, 4.9350220386193955e-18, 1.4532541467337584e-18]",0.6414978444835081,0.26416889313726505,0.7671248369862353,1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080825,0.11193337821228302,False,4,2,1.0186201198438216,0.9918806193646228,0.0,0.20475807834819465,"[[0.20475807834819465, 0.0], [-0.15560007065765508, 0.0], [0.06624703937062695, 0.0], [-0.05530830037843546, 0.0]]",0.4299474540578926,0.8296889382901792,0.0,0.20475807834819465,-0.15560007065765508,0.8538707409576523,0.4299474540578926,0.6626056020502868,0.4002067324849617,4,"[0.4002067324849617, 0.14163848072762536, 0.058043766346743846, 0.03548022674714353]",0.5486033242575612,0.20475807834819465,0.9906957973148371,0.8360827666020282,True,True,markov,1.0182732699218953,0.9999999999937883,0,True,3.7854570540755454,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.8556750350448027,False,0.9449964477625875,0.9003357414036951,2,0.9449964477625875,False,False,False,6.999272781080357,0.678588725116499,0.09695131856323475,radial,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]",True,"[0, 1]",False,shared_edge,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078267, ""complex_eig_imag_max"": 0.09604348605970163}]",0.0,2,2,response_opnorm_bounded,"[[6.033283800329702e-17, 0.0], [-0.4910273251452961, 0.12552943707799477], [-0.4910273251452961, -0.12552943707799477], [0.9820546502905918, 0.0], [0.9820546502909686, 0.0], [-0.4910273251454843, 0.09431995211567194], [-0.4910273251454843, -0.09431995211567194], [-9.750342317577366e-17, 7.988893552632704e-17], [-9.750342317577366e-17, -7.988893552632704e-17], [4.139223066089796e-17, 0.0], [9.244975143478293e-17, 3.201492051994345e-17], [9.244975143478293e-17, -3.201492051994345e-17]]",4.0088972395624145,0.12552943707799477,0.9820546502909686,-0.4910273251454843,0.6950819711565723,3.717525703454734,"[3.717525703454734, 1.19396768520097, 0.6488367436939813, 0.5019619600673012, 0.3736279254713588, 0.11466530515515158, 1.4593976481781682e-16, 1.078295489481902e-16, 6.889403595736064e-17, 4.960692223091163e-17, 2.8177325192976027e-17, 1.727735028767779e-17]",0.641497844483943,0.9820546502909686,0.7671248369867553,1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080825,0.11193337821228302,False,4,2,1.2884921213440648,0.7369028302155152,0.0,0.7611934192494111,"[[0.7611934192494111, 0.0], [-0.5784472621292049, 0.0], [0.2462750716380832, 0.0], [-0.20561002827122912, 0.0]]",1.5983407115951391,0.6868195242847112,0.0,0.7611934192494111,-0.5784472621292049,0.7353494005274142,1.5983407115951391,0.6626056020521904,1.4877788147084776,4,"[1.4877788147084776, 0.5265446927032252, 0.21577919331934114, 0.1318986548969081]",0.5486033242584938,0.7611934192494111,0.9272806811945498,0.8360827666034495,True,True,markov,1.0182732699218953,0.9999999999937883,0,True,3.717525703454734,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.8556750350435713,False,0.9449964477615038,0.9003357414025376,2,0.9449964477615038,False,True,False,6.999272781080357,0.678588725116499,0.09695131856323475,radial,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]",True,"[0, 1]",False,shared_edge,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078267, ""complex_eig_imag_max"": 0.09604348605970163}]",0.0,2,2,response_opnorm_bounded__transfer_post_opnorm_bounded,"[[1.9142247335080484e-17, 0.0], [-0.13208444656858176, 0.03376693184968125], [-0.13208444656858176, -0.03376693184968125], [0.26416889313716346, 0.0], [0.264168893137265, 0.0], [-0.13208444656863233, 0.02537170140559335], [-0.13208444656863233, -0.02537170140559335], [4.648465931762657e-17, 0.0], [-3.7629814730726265e-17, 2.015622934610381e-17], [-3.7629814730726265e-17, -2.015622934610381e-17], [9.549644223669036e-19, 0.0], [-2.1323437936084566e-19, 0.0]]",1.0783778134571889,0.03376693184968125,0.264168893137265,-0.13208444656863233,0.6950819711562517,0.9999999999999999,"[0.9999999999999999, 0.3211726778624297, 0.17453456827238897, 0.13502582096495608, 0.10050446325741408, 0.030844522486715268, 6.96132520007385e-17, 2.6507325587148995e-17, 1.1491587336596323e-17, 5.566248803830316e-18, 5.461742128202042e-18, 2.8632507605592678e-18]",0.6414978444835081,0.264168893137265,0.7671248369862352,1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080825,0.11193337821228302,False,4,2,1.0186201198438216,0.9918806193646228,0.0,0.2047580783481947,"[[0.2047580783481947, 0.0], [-0.15560007065765505, 0.0], [0.06624703937062691, 0.0], [-0.055308300378435496, 0.0]]",0.42994745405789253,0.8296889382901792,0.0,0.2047580783481947,-0.15560007065765505,0.8538707409576523,0.42994745405789253,0.6626056020502868,0.40020673248496164,4,"[0.40020673248496164, 0.14163848072762533, 0.05804376634674387, 0.03548022674714351]",0.5486033242575613,0.2047580783481947,0.9906957973148371,0.8360827666020282,True,True,markov,1.0182732699218953,0.9999999999937883,0,True,3.717525703454734,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.8556750350448109,False,0.9449964477625945,0.9003357414037028,2,0.9449964477625945,False,False,False,6.999272781080357,0.678588725116499,0.09695131856323475,radial,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]",True,"[0, 1]",False,shared_edge,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078267, ""complex_eig_imag_max"": 0.09604348605970163}]",0.0,2,2,response_radius_bounded,"[[7.064919546385082e-17, 0.0], [-0.4999999999967024, 0.12782327036486427], [-0.4999999999967024, -0.12782327036486427], [0.9999999999934044, 0.0], [0.9999999999937892, 0.0], [-0.4999999999968938, 0.09604348605970216], [-0.4999999999968938, -0.09604348605970216], [9.925251544536236e-17, 8.798418068047371e-17], [9.925251544536236e-17, -8.798418068047371e-17], [-1.6400752097935105e-17, 7.044200388872499e-17], [-1.6400752097935105e-17, -7.044200388872499e-17], [-4.440225066325385e-17, 0.0]]",4.082152900910079,0.12782327036486427,0.9999999999937892,-0.4999999999968938,0.6950819711565731,3.7854570540755454,"[3.7854570540755454, 1.2157853789906672, 0.660693112646745, 0.5111344464541346, 0.3804553294038547, 0.11676061522692821, 2.0545415295257646e-16, 1.5745981507759224e-16, 7.90690351887132e-17, 4.068037327416129e-17, 1.8614080418147054e-17, 5.3386898535953385e-19]",0.641497844483946,0.9999999999937892,0.7671248369867587,1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080825,0.11193337821228302,False,4,2,1.3001398002362634,0.7289742253599178,0.0,0.7751029120621262,"[[0.7751029120621262, 0.0], [-0.5890173850856725, 0.0], [0.25077532249716017, 0.0], [-0.20936719581647792, 0.0]]",1.6275476228452712,0.6860721844473517,0.0,0.7751029120621262,-0.5890173850856725,0.7347426552590469,1.6275476228452712,0.6626056020521955,1.5149653985737233,4,"[1.5149653985737233, 0.5361663859989328, 0.21972218476239433, 0.13430887462017435]",0.5486033242585,0.7751029120621262,0.9260883194183122,0.836082766603459,True,True,markov,1.0182732699218953,0.9999999999937883,0,True,3.7854570540755454,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.8556750350435716,False,0.9449964477615038,0.9003357414025377,2,0.9449964477615038,False,True,False,6.999272781080357,0.678588725116499,0.09695131856323475,radial,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]",True,"[0, 1]",False,shared_edge,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078267, ""complex_eig_imag_max"": 0.09604348605970163}]",0.0,2,2,response_radius_bounded__transfer_post_opnorm_bounded,"[[3.7612193479805706e-17, 0.0], [-0.13208444656858187, 0.03376693184968135], [-0.13208444656858187, -0.03376693184968135], [0.2641688931371633, 0.0], [0.26416889313726505, 0.0], [-0.13208444656863233, 0.025371701405593444], [-0.13208444656863233, -0.025371701405593444], [-3.3018432391814083e-18, 0.0], [-7.558425049914135e-18, 2.137415309606104e-17], [-7.558425049914135e-18, -2.137415309606104e-17], [1.7650728695473992e-17, 0.0], [1.1702199981794516e-17, 0.0]]",1.078377813457189,0.03376693184968135,0.26416889313726505,-0.13208444656863233,0.6950819711562517,1.0,"[1.0, 0.32117267786242976, 0.17453456827238914, 0.13502582096495613, 0.10050446325741418, 0.030844522486715303, 4.2349264483043065e-17, 3.987626857556775e-17, 1.0309554404441424e-17, 8.744694402707348e-18, 4.9350220386193955e-18, 1.4532541467337584e-18]",0.6414978444835081,0.26416889313726505,0.7671248369862353,1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080825,0.11193337821228302,False,4,2,1.0186201198438216,0.9918806193646228,0.0,0.20475807834819465,"[[0.20475807834819465, 0.0], [-0.15560007065765508, 0.0], [0.06624703937062695, 0.0], [-0.05530830037843546, 0.0]]",0.4299474540578926,0.8296889382901792,0.0,0.20475807834819465,-0.15560007065765508,0.8538707409576523,0.4299474540578926,0.6626056020502868,0.4002067324849617,4,"[0.4002067324849617, 0.14163848072762536, 0.058043766346743846, 0.03548022674714353]",0.5486033242575612,0.20475807834819465,0.9906957973148371,0.8360827666020282,True,True,markov,1.0182732699218953,0.9999999999937883,0,True,3.7854570540755454,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.9267935992888209,False,0.9430894150535665,0.9349415071711937,2,0.9430894150535665,False,True,False,6.999272781080357,0.678588725116499,0.09695131856323475,radial,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]",True,"[0, 1]",False,shared_edge,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078267, ""complex_eig_imag_max"": 0.09604348605970163}]",0.499999999999875,1,3,raw_unbounded_audit,"[[-2.7577915345948567e-18, 0.0], [7.45931094670027e-17, 0.19365662738672643], [7.45931094670027e-17, -0.19365662738672643], [-5.637851296924623e-17, 0.16027080678831893], [-5.637851296924623e-17, -0.16027080678831893], [4.0567979741226733e-17, 0.0], [-2.649077118751933e-17, 0.0], [-1.477925669352829e-18, 8.521055027493153e-18], [-1.477925669352829e-18, -8.521055027493153e-18], [-1.861856300925498e-18, 0.0], [6.891063453184367e-18, 4.719142568883788e-18], [6.891063453184367e-18, -4.719142568883788e-18]]",0.7350897420848687,0.19365662738672643,7.45931094670027e-17,-5.637851296924623e-17,0.6928744645672311,0.6326901628139429,"[0.6326901628139429, 0.2980424659858511, 0.2208268772064827, 0.04966150993647872, 5.334189495487745e-17, 2.4644989565610004e-17, 1.9525860706695825e-17, 1.8303586089400943e-17, 8.202118297584097e-18, 4.808280731975052e-18, 3.439033174802366e-18, 8.730609943532167e-20]",0.7854556136936701,0.19365662738672643,0.6189179904594625,1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080825,0.11193337821228302,False,4,2,1.0075784997513484,0.9951794581378482,0.0,0.16718669686011145,"[[0.16718669686011145, 0.0], [0.03569042607169749, 0.0], [-0.015263449921483084, 0.0], [0.0013004590268089115, 0.0]]",0.25439966582299983,0.8517246831331802,0.0,0.16718669686011145,-0.015263449921483084,0.9349429827976533,0.25439966582299983,0.4833010029250012,0.2453608825034416,4,"[0.2453608825034416, 0.05839074825205992, 0.03328191890251647, 0.0002483962905968467]",0.5219218510276633,0.16718669686011145,0.9858779388424426,0.852993306780303,True,False,skew_markov,0.19365662738672643,0.19365662738672645,0,True,0.6326901628139429,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.9267935992888209,False,0.9430894150535665,0.9349415071711937,2,0.9430894150535665,False,True,False,6.999272781080357,0.678588725116499,0.09695131856323475,radial,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]",True,"[0, 1]",False,shared_edge,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078267, ""complex_eig_imag_max"": 0.09604348605970163}]",0.499999999999875,1,3,raw_unbounded_audit__transfer_post_opnorm_bounded,"[[-2.7577915345948567e-18, 0.0], [7.45931094670027e-17, 0.19365662738672643], [7.45931094670027e-17, -0.19365662738672643], [-5.637851296924623e-17, 0.16027080678831893], [-5.637851296924623e-17, -0.16027080678831893], [4.0567979741226733e-17, 0.0], [-2.649077118751933e-17, 0.0], [-1.477925669352829e-18, 8.521055027493153e-18], [-1.477925669352829e-18, -8.521055027493153e-18], [-1.861856300925498e-18, 0.0], [6.891063453184367e-18, 4.719142568883788e-18], [6.891063453184367e-18, -4.719142568883788e-18]]",0.7350897420848687,0.19365662738672643,7.45931094670027e-17,-5.637851296924623e-17,0.6928744645672311,0.6326901628139429,"[0.6326901628139429, 0.2980424659858511, 0.2208268772064827, 0.04966150993647872, 5.334189495487745e-17, 2.4644989565610004e-17, 1.9525860706695825e-17, 1.8303586089400943e-17, 8.202118297584097e-18, 4.808280731975052e-18, 3.439033174802366e-18, 8.730609943532167e-20]",0.7854556136936701,0.19365662738672643,0.6189179904594625,1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080825,0.11193337821228302,False,4,2,1.0075784997513484,0.9951794581378482,0.0,0.16718669686011145,"[[0.16718669686011145, 0.0], [0.03569042607169749, 0.0], [-0.015263449921483084, 0.0], [0.0013004590268089115, 0.0]]",0.25439966582299983,0.8517246831331802,0.0,0.16718669686011145,-0.015263449921483084,0.9349429827976533,0.25439966582299983,0.4833010029250012,0.2453608825034416,4,"[0.2453608825034416, 0.05839074825205992, 0.03328191890251647, 0.0002483962905968467]",0.5219218510276633,0.16718669686011145,0.9858779388424426,0.852993306780303,True,True,skew_markov,0.19365662738672643,0.19365662738672645,0,True,0.6326901628139429,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.9267935992888209,False,0.9430894150535665,0.9349415071711937,2,0.9430894150535665,False,True,False,6.999272781080357,0.678588725116499,0.09695131856323475,radial,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]",True,"[0, 1]",False,shared_edge,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078267, ""complex_eig_imag_max"": 0.09604348605970163}]",0.499999999999875,1,3,response_opnorm_bounded,"[[-2.7577915345948567e-18, 0.0], [7.45931094670027e-17, 0.19365662738672643], [7.45931094670027e-17, -0.19365662738672643], [-5.637851296924623e-17, 0.16027080678831893], [-5.637851296924623e-17, -0.16027080678831893], [4.0567979741226733e-17, 0.0], [-2.649077118751933e-17, 0.0], [-1.477925669352829e-18, 8.521055027493153e-18], [-1.477925669352829e-18, -8.521055027493153e-18], [-1.861856300925498e-18, 0.0], [6.891063453184367e-18, 4.719142568883788e-18], [6.891063453184367e-18, -4.719142568883788e-18]]",0.7350897420848687,0.19365662738672643,7.45931094670027e-17,-5.637851296924623e-17,0.6928744645672311,0.6326901628139429,"[0.6326901628139429, 0.2980424659858511, 0.2208268772064827, 0.04966150993647872, 5.334189495487745e-17, 2.4644989565610004e-17, 1.9525860706695825e-17, 1.8303586089400943e-17, 8.202118297584097e-18, 4.808280731975052e-18, 3.439033174802366e-18, 8.730609943532167e-20]",0.7854556136936701,0.19365662738672643,0.6189179904594625,1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080825,0.11193337821228302,False,4,2,1.0075784997513484,0.9951794581378482,0.0,0.16718669686011145,"[[0.16718669686011145, 0.0], [0.03569042607169749, 0.0], [-0.015263449921483084, 0.0], [0.0013004590268089115, 0.0]]",0.25439966582299983,0.8517246831331802,0.0,0.16718669686011145,-0.015263449921483084,0.9349429827976533,0.25439966582299983,0.4833010029250012,0.2453608825034416,4,"[0.2453608825034416, 0.05839074825205992, 0.03328191890251647, 0.0002483962905968467]",0.5219218510276633,0.16718669686011145,0.9858779388424426,0.852993306780303,True,True,skew_markov,0.19365662738672643,0.19365662738672645,0,True,0.6326901628139429,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.9267935992888209,False,0.9430894150535665,0.9349415071711937,2,0.9430894150535665,False,True,False,6.999272781080357,0.678588725116499,0.09695131856323475,radial,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]",True,"[0, 1]",False,shared_edge,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078267, ""complex_eig_imag_max"": 0.09604348605970163}]",0.499999999999875,1,3,response_opnorm_bounded__transfer_post_opnorm_bounded,"[[-2.7577915345948567e-18, 0.0], [7.45931094670027e-17, 0.19365662738672643], [7.45931094670027e-17, -0.19365662738672643], [-5.637851296924623e-17, 0.16027080678831893], [-5.637851296924623e-17, -0.16027080678831893], [4.0567979741226733e-17, 0.0], [-2.649077118751933e-17, 0.0], [-1.477925669352829e-18, 8.521055027493153e-18], [-1.477925669352829e-18, -8.521055027493153e-18], [-1.861856300925498e-18, 0.0], [6.891063453184367e-18, 4.719142568883788e-18], [6.891063453184367e-18, -4.719142568883788e-18]]",0.7350897420848687,0.19365662738672643,7.45931094670027e-17,-5.637851296924623e-17,0.6928744645672311,0.6326901628139429,"[0.6326901628139429, 0.2980424659858511, 0.2208268772064827, 0.04966150993647872, 5.334189495487745e-17, 2.4644989565610004e-17, 1.9525860706695825e-17, 1.8303586089400943e-17, 8.202118297584097e-18, 4.808280731975052e-18, 3.439033174802366e-18, 8.730609943532167e-20]",0.7854556136936701,0.19365662738672643,0.6189179904594625,1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080825,0.11193337821228302,False,4,2,1.0075784997513484,0.9951794581378482,0.0,0.16718669686011145,"[[0.16718669686011145, 0.0], [0.03569042607169749, 0.0], [-0.015263449921483084, 0.0], [0.0013004590268089115, 0.0]]",0.25439966582299983,0.8517246831331802,0.0,0.16718669686011145,-0.015263449921483084,0.9349429827976533,0.25439966582299983,0.4833010029250012,0.2453608825034416,4,"[0.2453608825034416, 0.05839074825205992, 0.03328191890251647, 0.0002483962905968467]",0.5219218510276633,0.16718669686011145,0.9858779388424426,0.852993306780303,True,True,skew_markov,0.19365662738672643,0.19365662738672645,0,True,0.6326901628139429,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
